2025-05-19 01:28:36,945 | INFO | eliaselpuci | 127.0.0.1 | GET /redirect/ | Acceso de usuario
2025-05-19 03:10:17,338 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.0010728836059570312, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:10:20,775 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.0009186267852783203, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:13:14,915 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.010814666748046875, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:13:25,347 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.010620594024658203, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:16:21,332 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.010828256607055664, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:17:08,373 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.003171682357788086, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:17:37,895 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.004513740539550781, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:19:32,928 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.007695436477661133, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:19:40,005 | SECURITY | INFO | anonymous | 0.0.0.0 | request | POST / | Context: {'method': 'POST', 'path': '/', 'status': 200, 'response_time': 0.4736638069152832, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {'csrfmiddlewaretoken': '*****', 'username': ['admin'], 'password': '*****'}}
2025-05-19 03:19:40,011 | SECURITY | INFO | admin | 127.0.0.1 | POST / | Acceso de usuario | Context: 
2025-05-19 03:19:41,551 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 302, 'response_time': 0.0029158592224121094, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:19:41,551 | SECURITY | INFO | admin | 127.0.0.1 | GET / | Acceso de usuario | Context: 
2025-05-19 03:19:41,565 | SECURITY | WARNING | anonymous | 0.0.0.0 | admin_access | Suspicious activity detected: admin_access | Context: {'path': '/dashboard/admin/', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0'}
